,geoName,date,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,day,year
0,Japan,2019-03-10,27,35,49,52,18,40,45,25,11,55,25,53,60,1,0
1,Japan,2019-03-11,40,46,60,47,20,65,53,75,0,78,52,48,72,2,0
2,Japan,2019-03-12,60,24,35,38,39,58,70,38,100,96,30,68,77,3,0
3,Japan,2019-03-13,49,19,67,17,31,40,100,50,0,90,31,76,59,4,0
4,Japan,2019-03-14,40,32,76,31,78,49,69,13,0,74,23,65,87,5,0
5,Japan,2019-03-15,23,33,51,54,69,52,59,50,0,51,35,62,60,6,0
6,Japan,2019-03-16,28,33,51,13,27,56,49,50,0,46,63,65,54,7,0
7,Japan,2019-03-17,29,47,39,61,36,56,41,13,0,52,85,44,63,8,0
8,Japan,2019-03-18,32,41,77,16,80,40,61,38,0,31,45,60,55,9,0
9,Japan,2019-03-19,22,31,33,32,31,52,67,100,0,48,11,68,89,10,0
10,Japan,2019-03-20,33,55,66,55,67,44,49,63,73,58,54,59,69,11,0
11,Japan,2019-03-21,44,84,84,41,16,58,50,38,16,53,30,68,62,12,0
12,Japan,2019-03-22,30,63,54,36,24,42,54,25,0,41,39,70,62,13,0
13,Japan,2019-03-23,27,20,61,36,70,48,42,13,0,39,56,42,72,14,0
14,Japan,2019-03-24,31,31,28,22,71,56,51,25,30,54,19,61,59,15,0
15,Japan,2019-03-25,28,41,46,62,22,43,52,75,0,100,50,68,69,16,0
16,Japan,2019-03-26,35,34,38,16,21,57,62,75,0,55,44,69,64,17,0
17,Japan,2019-03-27,40,27,62,5,42,54,59,25,27,58,21,63,74,18,0
18,Japan,2019-03-28,35,35,60,30,36,49,58,0,22,74,42,56,75,19,0
19,Japan,2019-03-29,27,24,26,25,40,51,55,63,8,59,47,69,77,20,0
20,Japan,2019-03-30,32,35,39,33,47,55,49,25,11,59,86,42,53,21,0
21,Japan,2019-03-31,30,48,51,21,45,46,54,75,0,68,55,47,55,22,0
22,Japan,2019-04-01,20,31,46,0,28,100,52,50,19,29,30,48,60,23,0
23,Japan,2019-04-02,24,16,64,5,45,72,54,88,0,49,28,69,56,24,0
24,Japan,2019-04-03,31,25,66,8,59,46,55,63,86,61,60,84,60,25,0
25,Japan,2019-04-04,22,43,30,13,83,69,64,50,0,66,11,74,71,26,0
26,Japan,2019-04-05,32,20,55,10,76,67,58,0,0,65,32,69,80,27,0
27,Japan,2019-04-06,41,32,49,38,34,63,48,50,0,88,49,54,58,28,0
28,Japan,2019-04-07,24,49,43,25,61,62,54,13,16,65,75,45,55,29,0
29,Japan,2019-04-08,34,36,33,17,77,48,66,13,0,68,64,82,81,30,0
30,Japan,2019-04-09,38,33,64,27,41,54,67,0,43,59,23,67,73,31,0
31,Japan,2019-04-10,44,33,44,22,64,56,75,38,0,46,43,79,100,32,0
32,Japan,2019-04-11,28,19,78,24,44,67,75,75,0,67,42,91,86,33,0
33,Japan,2019-04-12,37,30,86,16,85,48,76,88,0,65,65,64,74,34,0
34,Japan,2019-04-13,30,45,72,19,45,57,54,13,0,82,100,46,61,35,0
35,Japan,2019-04-14,35,56,45,48,36,45,51,88,0,74,63,67,66,36,0
36,Japan,2019-04-15,24,39,44,21,36,54,65,50,0,69,22,71,80,37,0
37,Japan,2019-04-16,38,37,49,0,46,49,67,50,0,58,75,73,86,38,0
38,Japan,2019-04-17,51,25,43,54,66,50,64,25,0,85,30,72,68,39,0
39,Japan,2019-04-18,32,22,81,16,35,47,71,13,22,56,67,73,66,40,0
40,Japan,2019-04-19,40,26,45,52,81,59,70,0,0,44,39,69,90,41,0
41,Japan,2019-04-20,34,31,32,24,42,48,47,50,0,60,35,59,63,42,0
42,Japan,2019-04-21,36,47,53,19,33,46,45,25,0,56,22,54,58,43,0
43,Japan,2019-04-22,22,49,25,0,51,68,62,50,27,57,32,56,75,44,0
44,Japan,2019-04-23,29,19,60,3,22,43,73,25,32,59,47,86,76,45,0
45,Japan,2019-04-24,31,26,41,41,38,50,70,63,0,59,41,58,95,46,0
46,Japan,2019-04-25,35,45,44,7,58,35,57,25,0,50,15,73,82,47,0
47,Japan,2019-04-26,40,21,66,25,29,30,54,50,0,29,52,43,61,48,0
48,Japan,2019-04-27,31,25,60,30,38,46,43,63,0,43,25,59,60,49,0
49,Japan,2019-04-28,26,27,74,68,37,36,41,25,0,50,13,34,60,50,0
50,Japan,2019-04-29,27,39,45,28,50,38,42,50,49,45,65,49,57,51,0
51,Japan,2019-04-30,20,25,37,52,48,48,43,63,0,39,38,45,46,52,0
52,Japan,2019-05-01,36,26,56,2,11,45,65,13,27,55,11,72,60,53,0
53,Japan,2019-05-02,33,25,70,36,34,37,59,38,27,36,50,67,44,54,0
54,Japan,2019-05-03,20,23,17,0,62,40,37,38,0,51,78,55,49,55,0
55,Japan,2019-05-04,100,34,24,25,32,45,53,25,16,50,26,54,55,56,0
56,Japan,2019-05-05,81,37,38,39,48,51,45,13,0,50,60,50,49,57,0
57,Japan,2019-05-06,75,36,62,100,53,49,55,13,27,65,32,100,71,58,0
58,Japan,2019-05-07,62,25,89,36,99,44,64,38,0,58,25,67,80,59,0
59,Japan,2019-05-08,47,32,47,25,100,43,65,25,8,46,44,61,67,60,0
60,Japan,2019-05-09,45,32,52,15,68,46,72,38,0,35,56,78,72,61,0
61,Japan,2019-05-10,34,35,83,27,13,58,67,50,22,66,9,58,74,62,0
62,Japan,2019-05-11,29,11,37,3,28,51,59,38,43,84,32,44,66,63,0
63,Japan,2020-03-10,31,29,81,40,63,44,58,22,0,72,34,79,70,1,1
64,Japan,2020-03-11,27,37,48,2,27,75,52,33,0,75,34,72,51,2,1
65,Japan,2020-03-12,26,26,50,26,35,52,61,21,0,60,55,62,67,3,1
66,Japan,2020-03-13,39,35,100,2,70,55,54,65,0,51,32,52,66,4,1
67,Japan,2020-03-14,22,20,43,17,23,53,50,11,0,55,27,53,61,5,1
68,Japan,2020-03-15,37,38,52,10,50,44,45,54,0,62,10,80,64,6,1
69,Japan,2020-03-16,22,100,82,33,82,68,62,11,0,52,68,62,69,7,1
70,Japan,2020-03-17,40,27,26,17,55,41,60,76,42,52,64,63,65,8,1
71,Japan,2020-03-18,50,45,72,38,43,35,71,33,39,78,25,53,88,9,1
72,Japan,2020-03-19,42,39,48,22,64,56,65,11,0,86,49,55,52,10,1
73,Japan,2020-03-20,28,43,78,23,23,51,46,65,0,80,25,44,42,11,1
74,Japan,2020-03-21,24,43,82,7,34,53,44,33,0,61,44,63,54,12,1
75,Japan,2020-03-22,26,30,67,22,26,54,46,0,23,79,57,66,69,13,1
76,Japan,2020-03-23,25,53,81,22,60,44,54,33,0,33,53,56,76,14,1
77,Japan,2020-03-24,16,28,34,36,34,37,56,33,9,69,27,59,56,15,1
78,Japan,2020-03-25,26,42,43,84,48,39,63,54,0,52,80,56,68,16,1
79,Japan,2020-03-26,19,31,54,13,45,46,67,22,59,70,49,60,59,17,1
80,Japan,2020-03-27,26,46,42,22,40,40,58,33,0,84,40,55,60,18,1
81,Japan,2020-03-28,35,43,67,28,62,45,60,11,28,72,44,50,52,19,1
82,Japan,2020-03-29,26,44,17,33,48,59,51,22,0,84,26,53,63,20,1
83,Japan,2020-03-30,30,28,98,0,22,39,53,33,0,39,59,66,69,21,1
84,Japan,2020-03-31,29,49,96,51,44,29,45,54,0,60,28,44,64,22,1
85,Japan,2020-04-01,29,43,46,41,41,32,55,21,17,68,23,59,67,23,1
86,Japan,2020-04-02,25,27,82,41,38,77,50,43,0,77,26,53,59,24,1
87,Japan,2020-04-03,26,34,50,12,38,50,50,54,0,54,17,46,63,25,1
88,Japan,2020-04-04,21,35,54,43,49,69,47,65,0,52,46,43,67,26,1
89,Japan,2020-04-05,33,41,42,30,56,55,48,54,0,83,28,66,83,27,1
90,Japan,2020-04-06,28,30,44,5,51,45,52,22,0,83,11,57,84,28,1
91,Japan,2020-04-07,20,37,65,12,32,47,59,43,0,53,46,85,63,29,1
92,Japan,2020-04-08,29,28,77,30,67,46,56,43,0,55,47,52,71,30,1
93,Japan,2020-04-09,40,36,67,33,46,51,60,33,0,90,25,59,86,31,1
94,Japan,2020-04-10,36,31,73,48,35,39,50,0,59,45,38,69,67,32,1
95,Japan,2020-04-11,40,40,33,61,41,40,47,54,0,67,47,43,67,33,1
96,Japan,2020-04-12,37,26,61,20,82,43,44,0,0,87,32,67,67,34,1
97,Japan,2020-04-13,33,23,68,26,59,38,59,11,25,39,54,74,80,35,1
98,Japan,2020-04-14,21,39,54,31,43,49,68,87,14,41,43,77,79,36,1
99,Japan,2020-04-15,25,44,63,51,58,38,57,11,0,65,59,65,72,37,1
100,Japan,2020-04-16,27,26,80,10,71,40,52,33,17,55,16,57,78,38,1
101,Japan,2020-04-17,34,23,65,83,59,36,52,43,0,49,52,49,69,39,1
102,Japan,2020-04-18,31,29,56,17,60,59,42,76,0,87,21,68,64,40,1
103,Japan,2020-04-19,25,41,67,7,18,47,46,11,37,63,39,58,76,41,1
104,Japan,2020-04-20,44,27,22,31,24,46,66,11,0,67,64,72,86,42,1
105,Japan,2020-04-21,26,19,51,13,96,40,54,21,0,40,31,59,82,43,1
106,Japan,2020-04-22,30,38,66,23,19,46,53,54,0,67,49,74,76,44,1
107,Japan,2020-04-23,43,22,30,43,50,58,56,44,0,55,25,51,90,45,1
108,Japan,2020-04-24,66,29,18,25,81,49,55,11,19,83,55,58,83,46,1
109,Japan,2020-04-25,43,39,42,35,35,45,40,33,51,47,42,62,69,47,1
110,Japan,2020-04-26,29,40,60,46,44,43,38,22,0,88,55,63,71,48,1
111,Japan,2020-04-27,42,16,40,38,43,47,48,76,0,57,29,60,88,49,1
112,Japan,2020-04-28,37,35,60,33,32,44,53,22,0,73,36,56,83,50,1
113,Japan,2020-04-29,30,38,38,46,32,48,51,21,37,70,64,70,81,51,1
114,Japan,2020-04-30,28,35,77,26,15,47,51,21,0,39,32,60,77,52,1
115,Japan,2020-05-01,34,23,29,31,33,46,50,22,0,47,52,53,70,53,1
116,Japan,2020-05-02,42,36,34,15,35,41,46,65,0,60,26,65,78,54,1
117,Japan,2020-05-03,43,36,70,60,39,48,46,43,0,48,51,66,64,55,1
118,Japan,2020-05-04,67,45,46,94,28,50,83,54,25,46,33,64,54,56,1
119,Japan,2020-05-05,39,26,22,5,28,44,48,65,28,82,57,58,75,57,1
120,Japan,2020-05-06,31,45,38,45,27,50,61,11,45,77,41,52,82,58,1
121,Japan,2020-05-07,37,48,75,81,35,48,53,54,14,52,20,72,71,59,1
122,Japan,2020-05-08,28,33,52,35,89,46,64,44,0,87,61,68,75,60,1
123,Japan,2020-05-09,37,51,36,48,39,46,47,54,0,70,28,73,65,61,1
124,Japan,2020-05-10,41,44,53,45,28,50,58,76,28,75,43,73,83,62,1
125,Japan,2020-05-11,30,38,53,28,69,46,60,11,14,58,39,85,81,63,1
,,,100,100,100,100,100,100,100,100,100,100,100,100,100,,
