,geoName,date,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,day,year,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress
0,Japan,2019-03-10,0,0,14,0,0,20,0,0,0,0,0,38,0,1,0,,0,0,33.0314465408805,0,0,40.8506787330316,0,0,0,0,0,80.1876280213026,0,,0,0,20,0,0,33,0,0,0,0,0,53,0
1,Japan,2019-03-11,27,0,0,0,0,0,0,0,0,14,0,47,0,2,0,,52.4673405909799,0,0,0,0,0,0,0,0,28.685968819599,0,99.1794346579269,0,,39,0,0,0,0,0,0,0,0,70,0,65,0
2,Japan,2019-03-12,14,0,0,0,0,20,0,0,0,10,0,67,14,3,0,,27.2052877138414,0,0,0,0,40.8506787330316,0,0,0,20.489977728285,0,141.383449405981,29.7853810264385,,20,0,0,0,0,33,0,0,0,50,0,93,29
3,Japan,2019-03-13,27,0,0,0,0,0,0,0,0,10,5,29,0,4,0,Deflator2019,52.4673405909799,0,0,0,0,0,0,0,0,20.489977728285,14.1071428571429,61.1958213846783,0,,39,0,0,0,0,0,0,0,0,50,56,40,0
4,Japan,2019-03-14,27,0,14,0,0,40,0,0,0,5,0,10,0,5,0,,52.4673405909799,0,33.0314465408805,0,0,81.7013574660632,0,0,0,10.2449888641425,0,21.102007374027,0,,39,0,20,0,0,67,0,0,0,25,0,14,0
5,Japan,2019-03-15,0,0,14,0,0,0,0,0,0,10,0,34,15,6,0,,0,0,33.0314465408805,0,0,0,0,0,0,20.489977728285,0,71.7468250716918,31.9129082426127,,0,0,20,0,0,0,0,0,0,50,0,47,31
6,Japan,2019-03-16,43,0,29,0,0,0,0,0,0,10,0,30,15,7,0,,83.5590979782273,0,68.4222821203953,0,0,0,0,0,0,20.489977728285,0,63.306022122081,31.9129082426127,,62,0,41,0,0,0,0,0,0,50,0,42,31
7,Japan,2019-03-17,0,0,69,0,0,0,0,0,0,5,0,39,5,8,0,,0,0,162.797843665768,0,0,0,0,0,0,10.2449888641425,0,82.2978287587053,10.6376360808709,,0,0,99,0,0,0,0,0,0,25,0,54,10
8,Japan,2019-03-18,14,0,14,0,0,20,20,0,0,5,0,57,24,9,0,,27.2052877138414,0,33.0314465408805,0,0,40.8506787330316,49.6666666666668,0,0,10.2449888641425,0,120.281442031954,51.0606531881803,,20,0,20,0,0,33,49,0,0,25,0,79,50
9,Japan,2019-03-19,13,0,13,0,0,38,0,0,0,0,9,54,9,10,0,,25.2620528771385,0,30.6720575022462,0,0,77.61628959276,0,0,0,0,25.3928571428571,113.950839819746,19.1477449455676,,19,0,19,0,0,63,0,0,0,0,100,75,19
10,Japan,2019-03-20,14,0,14,0,0,41,20,0,0,5,0,24,5,11,0,,27.2052877138414,0,33.0314465408805,0,0,83.7438914027148,49.6666666666668,0,0,10.2449888641425,0,50.6448176976648,10.6376360808709,,20,0,20,0,0,68,49,0,0,25,0,33,10
