date,Prefecture,Suicide,Wellbing,Worry,Boredom,Contentment,Divorce,Impairment,Irritability,Loneliness,Panic,Sadness,Sleep,Stress,
2019-03-10,JP-10,53,0,10,0,0,10,30,0,0,0,0,22,22,
2019-03-11,JP-10,48,0,0,0,0,21,32,0,0,28,0,0,0,
2019-03-12,JP-10,87,0,0,0,0,21,49,0,0,0,0,23,47,
2019-03-13,JP-10,32,0,0,0,22,0,57,0,0,0,0,48,0,
2019-03-14,JP-10,16,7,0,0,0,30,24,0,0,0,0,24,71,
2019-03-15,JP-10,16,7,0,0,0,0,24,0,0,0,0,0,0,
2019-03-16,JP-10,8,0,0,0,0,10,46,0,0,0,0,0,23,
2019-03-17,JP-10,0,7,0,0,0,20,39,0,0,0,0,22,22,
2019-03-18,JP-10,16,0,0,0,0,21,24,0,0,0,0,0,0,
2019-03-19,JP-10,8,0,0,0,0,28,30,0,0,0,0,0,65,
2019-03-20,JP-10,16,0,0,0,0,0,59,0,0,29,0,0,72,
2019-03-21,JP-10,16,0,0,0,0,29,31,0,0,0,0,46,0,
2019-03-22,JP-10,16,0,10,0,0,10,32,0,0,0,0,0,0,
2019-03-23,JP-10,0,0,0,0,0,10,29,0,0,26,0,0,44,
2019-03-24,JP-10,0,12,0,0,0,24,26,0,0,24,0,20,20,
2019-03-25,JP-10,0,0,0,0,0,20,47,0,0,28,0,47,47,
2019-03-26,JP-10,8,0,0,0,0,10,40,0,0,28,0,23,0,
2019-03-27,JP-10,8,0,0,0,0,50,48,0,0,0,0,0,24,
2019-03-28,JP-10,0,0,0,0,0,10,32,0,0,28,0,0,23,
2019-03-29,JP-10,0,7,0,38,0,20,56,0,0,0,0,24,24,
2019-03-30,JP-10,8,7,0,0,0,20,30,0,0,0,0,22,0,
2019-03-31,JP-10,8,7,0,0,0,20,38,0,0,0,0,0,45,
2019-04-01,JP-10,8,0,10,0,0,10,63,0,0,0,0,22,67,
2019-04-02,JP-10,0,0,0,0,22,29,16,0,0,0,0,0,24,
2019-04-03,JP-10,0,0,0,0,0,0,65,0,0,0,0,24,0,
2019-04-04,JP-10,0,0,0,38,0,20,16,0,0,0,0,0,0,
2019-04-05,JP-10,8,0,0,0,0,10,39,0,0,0,0,0,24,
2019-04-06,JP-10,0,0,19,0,0,10,16,0,0,0,0,22,65,
2019-04-07,JP-10,0,0,0,0,22,29,23,0,0,0,100,23,23,
2019-04-08,JP-10,0,0,10,0,22,21,41,0,0,0,35,0,24,
2019-04-09,JP-10,9,0,0,0,0,0,9,0,0,0,0,0,24,
2019-04-10,JP-10,16,0,0,0,0,10,17,0,0,0,0,23,70,
2019-04-11,JP-10,9,0,0,0,0,32,17,0,0,0,37,74,49,
2019-04-12,JP-10,0,0,0,0,0,0,79,0,0,0,0,24,24,
2019-04-13,JP-10,0,0,10,0,22,0,39,0,0,0,0,23,46,
2019-04-14,JP-10,0,6,0,0,0,18,58,0,0,0,0,22,22,
2019-04-15,JP-10,0,0,11,38,0,41,58,0,0,0,0,25,50,
2019-04-16,JP-10,0,8,0,0,25,32,17,0,0,0,0,0,100,
2019-04-17,JP-10,8,0,0,0,0,0,17,0,0,0,0,0,0,
2019-04-18,JP-10,9,8,0,0,0,11,25,0,0,0,0,24,24,
2019-04-19,JP-10,16,0,0,43,0,22,43,0,0,30,0,0,50,
2019-04-20,JP-10,8,0,0,0,22,0,8,0,0,28,0,90,0,
2019-04-21,JP-10,7,6,0,0,0,10,38,0,0,25,0,0,0,
2019-04-22,JP-10,0,0,11,0,0,32,9,0,0,0,0,49,24,
2019-04-23,JP-10,0,0,0,0,0,0,17,0,0,0,0,0,25,
2019-04-24,JP-10,8,0,0,0,0,10,23,0,0,0,0,24,72,
2019-04-25,JP-10,0,0,0,0,0,10,55,0,0,0,0,24,24,
2019-04-26,JP-10,8,0,10,0,0,10,65,0,0,0,0,24,0,
2019-04-27,JP-10,23,0,0,0,0,20,16,0,0,0,0,0,45,
2019-04-28,JP-10,0,0,0,33,0,0,15,0,0,25,0,0,21,
2019-04-29,JP-10,14,0,0,0,0,0,36,0,0,25,0,21,21,
2019-04-30,JP-10,0,0,0,0,19,9,7,0,0,47,0,39,0,
2019-05-01,JP-10,27,6,0,0,0,0,47,0,0,24,0,0,40,
2019-05-02,JP-10,7,0,0,0,19,9,27,0,0,0,0,62,41,
2019-05-03,JP-10,0,0,0,0,0,27,21,0,0,0,0,20,0,
2019-05-04,JP-10,7,0,0,0,0,27,28,0,0,0,31,0,0,
2019-05-05,JP-10,14,6,0,0,0,0,21,0,0,0,0,42,21,
2019-05-06,JP-10,22,0,0,0,19,9,29,0,0,25,0,0,21,
2019-05-07,JP-10,0,0,0,0,0,0,83,0,0,30,0,49,25,
2019-05-08,JP-10,16,0,0,0,0,32,59,0,0,0,0,24,24,
2019-05-09,JP-10,0,0,0,0,0,20,0,0,0,0,0,0,23,
2019-05-10,JP-10,16,0,0,0,0,11,33,0,0,0,0,23,69,
2019-05-11,JP-10,15,0,0,0,0,38,30,0,0,53,0,22,22,
2019-03-10,JP-11,35,8,11,0,0,18,45,0,0,11,13,54,72,
2019-03-11,JP-11,58,0,12,0,0,50,50,0,0,0,29,20,40,
2019-03-12,JP-11,49,0,0,14,0,26,64,0,0,24,0,10,51,
2019-03-13,JP-11,49,9,0,0,0,17,88,0,0,37,31,10,52,
2019-03-14,JP-11,10,9,13,19,0,26,52,0,0,12,0,42,42,
2019-03-15,JP-11,40,9,13,0,0,22,34,0,0,62,15,31,41,
2019-03-16,JP-11,0,9,0,14,0,28,57,0,0,44,0,19,37,
2019-03-17,JP-11,36,0,0,0,8,34,61,0,0,23,0,9,37,
2019-03-18,JP-11,29,9,12,0,0,17,62,0,0,12,0,31,42,
2019-03-19,JP-11,45,8,11,0,0,20,31,0,0,23,0,10,58,
2019-03-20,JP-11,68,0,12,14,0,29,47,0,50,12,0,60,60,
2019-03-21,JP-11,43,8,22,0,0,26,39,0,0,32,13,9,55,
2019-03-22,JP-11,10,17,24,0,0,26,54,0,0,0,0,31,10,
2019-03-23,JP-11,52,8,22,0,0,30,33,0,0,0,0,19,19,
2019-03-24,JP-11,39,0,0,0,8,17,29,0,40,29,0,40,24,
2019-03-25,JP-11,0,9,0,0,8,21,66,0,0,12,0,20,80,
2019-03-26,JP-11,39,9,0,0,0,12,40,0,0,24,0,20,40,
2019-03-27,JP-11,19,0,12,0,8,38,50,0,50,25,0,10,62,
2019-03-28,JP-11,19,9,12,14,0,24,58,0,0,12,0,30,30,
2019-03-29,JP-11,0,0,0,0,8,21,50,0,0,12,0,40,30,
2019-03-30,JP-11,27,16,11,0,0,23,56,0,0,23,13,38,38,
2019-03-31,JP-11,36,0,11,0,0,15,64,0,0,23,28,37,28,
2019-04-01,JP-11,18,9,0,0,0,40,58,0,0,0,15,39,0,
2019-04-02,JP-11,10,9,24,0,0,37,35,0,0,36,15,39,49,
2019-04-03,JP-11,66,17,0,0,19,24,39,0,50,0,0,39,59,
2019-04-04,JP-11,28,9,0,0,0,23,69,0,0,0,0,38,29,
2019-04-05,JP-11,19,0,0,0,0,29,47,0,0,12,0,40,50,
2019-04-06,JP-11,17,0,22,0,8,30,24,0,0,11,0,9,27,
2019-04-07,JP-11,9,8,11,0,8,40,44,0,0,22,0,63,27,
2019-04-08,JP-11,19,9,0,14,8,16,39,0,0,12,15,40,30,
2019-04-09,JP-11,29,9,12,0,8,29,85,0,50,37,0,51,41,
2019-04-10,JP-11,0,9,0,0,8,34,88,0,0,12,0,31,20,
2019-04-11,JP-11,49,9,12,0,11,22,55,0,0,13,16,21,42,
2019-04-12,JP-11,49,9,12,33,0,26,64,0,0,12,0,21,21,
2019-04-13,JP-11,27,0,0,0,8,7,71,0,0,34,0,9,56,
2019-04-14,JP-11,57,15,0,0,0,28,42,0,0,52,25,43,26,
2019-04-15,JP-11,20,9,12,0,0,17,65,0,0,25,0,42,63,
2019-04-16,JP-11,0,0,12,0,11,9,86,0,0,0,0,41,52,
2019-04-17,JP-11,29,0,12,0,8,21,82,0,0,13,16,53,53,
2019-04-18,JP-11,10,0,25,0,0,38,48,0,0,25,0,0,53,
2019-04-19,JP-11,39,0,12,0,0,12,74,0,0,25,15,31,41,
2019-04-20,JP-11,26,8,0,0,8,26,42,0,0,22,26,18,18,
2019-04-21,JP-11,16,0,0,0,8,21,25,0,0,0,0,26,18,
2019-04-22,JP-11,29,9,0,0,0,29,66,0,50,24,0,61,61,
2019-04-23,JP-11,39,9,12,0,8,12,58,0,0,12,15,72,51,
2019-04-24,JP-11,29,9,12,48,0,21,59,0,0,12,15,30,30,
2019-04-25,JP-11,38,9,0,0,8,16,68,0,0,12,0,40,50,
2019-04-26,JP-11,19,9,12,0,0,4,64,0,0,12,15,10,50,
2019-04-27,JP-11,9,8,33,0,8,15,24,0,0,0,13,36,18,
2019-04-28,JP-11,9,8,11,0,0,11,36,0,0,22,0,0,9,
2019-04-29,JP-11,34,8,11,0,8,33,38,0,0,22,0,27,27,
2019-04-30,JP-11,16,7,0,0,0,17,45,0,0,31,13,9,17,
2019-05-01,JP-11,33,8,0,0,0,18,58,0,0,11,0,9,35,
2019-05-02,JP-11,70,8,22,0,8,7,42,0,0,0,0,27,54,
2019-05-03,JP-11,9,8,11,0,17,15,39,0,0,11,13,9,45,
2019-05-04,JP-11,84,0,0,0,17,29,32,0,0,11,0,62,9,
2019-05-05,JP-11,51,0,22,0,8,11,41,0,0,42,0,44,27,
2019-05-06,JP-11,81,15,21,0,8,13,62,0,0,20,0,51,17,
2019-05-07,JP-11,87,34,0,0,8,17,57,0,0,12,0,40,40,
2019-05-08,JP-11,20,0,0,0,19,21,61,0,0,24,15,41,41,
2019-05-09,JP-11,29,0,12,0,8,34,70,0,0,0,0,41,62,
2019-05-10,JP-11,10,9,24,0,0,17,80,0,0,49,0,10,21,
2019-05-11,JP-11,26,0,0,0,8,15,48,0,0,44,0,0,28,
2019-03-10,JP-12,47,0,20,0,8,11,28,0,0,0,0,27,18,
2019-03-11,JP-12,35,0,11,0,8,40,36,0,0,0,15,20,40,
2019-03-12,JP-12,36,23,0,0,28,29,66,0,50,0,0,40,100,
2019-03-13,JP-12,18,8,11,0,8,17,69,0,0,25,0,31,10,
