"date","Prefecture","Suicide","Wellbing","Worry","Boredom","Contentment","Divorce","Impairment","Irritability","Loneliness","Panic","Sadness","Sleep","Stress","...16","geoName","day","week","day_w","month","year4","weekbefore4","weekbefore3","weekbefore2","weekbefore1","week0","weekafter1","weekafter2","weekafter3","weekafter4","Year","Treatment","population","lag_death"
2019-03-10,"JP-10",53,0,10,0,0,10,30,0,0,0,0,22,22,NA,"群馬県",1,1,1,"3",2019,1,0,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-11,"JP-10",48,0,0,0,0,21,32,0,0,28,0,0,0,NA,"群馬県",2,1,2,"3",2019,1,0,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-12,"JP-10",87,0,0,0,0,21,49,0,0,0,0,23,47,NA,"群馬県",3,1,3,"3",2019,1,0,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-13,"JP-10",32,0,0,0,22,0,57,0,0,0,0,48,0,NA,"群馬県",4,1,4,"3",2019,1,0,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-14,"JP-10",16,7,0,0,0,30,24,0,0,0,0,24,71,NA,"群馬県",5,1,5,"3",2019,1,0,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-15,"JP-10",16,7,0,0,0,0,24,0,0,0,0,0,0,NA,"群馬県",6,1,6,"3",2019,1,0,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-16,"JP-10",8,0,0,0,0,10,46,0,0,0,0,0,23,NA,"群馬県",7,1,7,"3",2019,1,0,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-17,"JP-10",0,7,0,0,0,20,39,0,0,0,0,22,22,NA,"群馬県",8,2,1,"3",2019,0,1,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-18,"JP-10",16,0,0,0,0,21,24,0,0,0,0,0,0,NA,"群馬県",9,2,2,"3",2019,0,1,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-19,"JP-10",8,0,0,0,0,28,30,0,0,0,0,0,65,NA,"群馬県",10,2,3,"3",2019,0,1,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-20,"JP-10",16,0,0,0,0,0,59,0,0,29,0,0,72,NA,"群馬県",11,2,4,"3",2019,0,1,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-21,"JP-10",16,0,0,0,0,29,31,0,0,0,0,46,0,NA,"群馬県",12,2,5,"3",2019,0,1,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-22,"JP-10",16,0,10,0,0,10,32,0,0,0,0,0,0,NA,"群馬県",13,2,6,"3",2019,0,1,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-23,"JP-10",0,0,0,0,0,10,29,0,0,26,0,0,44,NA,"群馬県",14,2,7,"3",2019,0,1,0,0,0,0,0,0,0,0,0,1981202,0
2019-03-24,"JP-10",0,12,0,0,0,24,26,0,0,24,0,20,20,NA,"群馬県",15,3,1,"3",2019,0,0,1,0,0,0,0,0,0,0,0,1981202,0
2019-03-25,"JP-10",0,0,0,0,0,20,47,0,0,28,0,47,47,NA,"群馬県",16,3,2,"3",2019,0,0,1,0,0,0,0,0,0,0,0,1981202,0
2019-03-26,"JP-10",8,0,0,0,0,10,40,0,0,28,0,23,0,NA,"群馬県",17,3,3,"3",2019,0,0,1,0,0,0,0,0,0,0,0,1981202,0
2019-03-27,"JP-10",8,0,0,0,0,50,48,0,0,0,0,0,24,NA,"群馬県",18,3,4,"3",2019,0,0,1,0,0,0,0,0,0,0,0,1981202,0
2019-03-28,"JP-10",0,0,0,0,0,10,32,0,0,28,0,0,23,NA,"群馬県",19,3,5,"3",2019,0,0,1,0,0,0,0,0,0,0,0,1981202,0
2019-03-29,"JP-10",0,7,0,38,0,20,56,0,0,0,0,24,24,NA,"群馬県",20,3,6,"3",2019,0,0,1,0,0,0,0,0,0,0,0,1981202,0
2019-03-30,"JP-10",8,7,0,0,0,20,30,0,0,0,0,22,0,NA,"群馬県",21,3,7,"3",2019,0,0,1,0,0,0,0,0,0,0,0,1981202,0
2019-03-31,"JP-10",8,7,0,0,0,20,38,0,0,0,0,0,45,NA,"群馬県",22,4,1,"3",2019,0,0,0,1,0,0,0,0,0,0,0,1981202,0
2019-04-01,"JP-10",8,0,10,0,0,10,63,0,0,0,0,22,67,NA,"群馬県",23,4,2,"4",2019,0,0,0,1,0,0,0,0,0,0,0,1981202,0
2019-04-02,"JP-10",0,0,0,0,22,29,16,0,0,0,0,0,24,NA,"群馬県",24,4,3,"4",2019,0,0,0,1,0,0,0,0,0,0,0,1981202,0
2019-04-03,"JP-10",0,0,0,0,0,0,65,0,0,0,0,24,0,NA,"群馬県",25,4,4,"4",2019,0,0,0,1,0,0,0,0,0,0,0,1981202,0
2019-04-04,"JP-10",0,0,0,38,0,20,16,0,0,0,0,0,0,NA,"群馬県",26,4,5,"4",2019,0,0,0,1,0,0,0,0,0,0,0,1981202,0
2019-04-05,"JP-10",8,0,0,0,0,10,39,0,0,0,0,0,24,NA,"群馬県",27,4,6,"4",2019,0,0,0,1,0,0,0,0,0,0,0,1981202,0
2019-04-06,"JP-10",0,0,19,0,0,10,16,0,0,0,0,22,65,NA,"群馬県",28,4,7,"4",2019,0,0,0,1,0,0,0,0,0,0,0,1981202,0
2019-04-07,"JP-10",0,0,0,0,22,29,23,0,0,0,100,23,23,NA,"群馬県",29,5,1,"4",2019,0,0,0,0,1,0,0,0,0,0,0,1981202,0
2019-04-08,"JP-10",0,0,10,0,22,21,41,0,0,0,35,0,24,NA,"群馬県",30,5,2,"4",2019,0,0,0,0,1,0,0,0,0,0,0,1981202,0
2019-04-09,"JP-10",9,0,0,0,0,0,9,0,0,0,0,0,24,NA,"群馬県",31,5,3,"4",2019,0,0,0,0,1,0,0,0,0,0,0,1981202,0
2019-04-10,"JP-10",16,0,0,0,0,10,17,0,0,0,0,23,70,NA,"群馬県",32,5,4,"4",2019,0,0,0,0,1,0,0,0,0,0,0,1981202,0
2019-04-11,"JP-10",9,0,0,0,0,32,17,0,0,0,37,74,49,NA,"群馬県",33,5,5,"4",2019,0,0,0,0,1,0,0,0,0,0,0,1981202,0
2019-04-12,"JP-10",0,0,0,0,0,0,79,0,0,0,0,24,24,NA,"群馬県",34,5,6,"4",2019,0,0,0,0,1,0,0,0,0,0,0,1981202,0
2019-04-13,"JP-10",0,0,10,0,22,0,39,0,0,0,0,23,46,NA,"群馬県",35,5,7,"4",2019,0,0,0,0,1,0,0,0,0,0,0,1981202,0
2019-04-14,"JP-10",0,6,0,0,0,18,58,0,0,0,0,22,22,NA,"群馬県",36,6,1,"4",2019,0,0,0,0,0,1,0,0,0,0,0,1981202,0
2019-04-15,"JP-10",0,0,11,38,0,41,58,0,0,0,0,25,50,NA,"群馬県",37,6,2,"4",2019,0,0,0,0,0,1,0,0,0,0,0,1981202,0
2019-04-16,"JP-10",0,8,0,0,25,32,17,0,0,0,0,0,100,NA,"群馬県",38,6,3,"4",2019,0,0,0,0,0,1,0,0,0,0,0,1981202,0
2019-04-17,"JP-10",8,0,0,0,0,0,17,0,0,0,0,0,0,NA,"群馬県",39,6,4,"4",2019,0,0,0,0,0,1,0,0,0,0,0,1981202,0
2019-04-18,"JP-10",9,8,0,0,0,11,25,0,0,0,0,24,24,NA,"群馬県",40,6,5,"4",2019,0,0,0,0,0,1,0,0,0,0,0,1981202,0
2019-04-19,"JP-10",16,0,0,43,0,22,43,0,0,30,0,0,50,NA,"群馬県",41,6,6,"4",2019,0,0,0,0,0,1,0,0,0,0,0,1981202,0
2019-04-20,"JP-10",8,0,0,0,22,0,8,0,0,28,0,90,0,NA,"群馬県",42,6,7,"4",2019,0,0,0,0,0,1,0,0,0,0,0,1981202,0
2019-04-21,"JP-10",7,6,0,0,0,10,38,0,0,25,0,0,0,NA,"群馬県",43,7,1,"4",2019,0,0,0,0,0,0,1,0,0,0,0,1981202,0
2019-04-22,"JP-10",0,0,11,0,0,32,9,0,0,0,0,49,24,NA,"群馬県",44,7,2,"4",2019,0,0,0,0,0,0,1,0,0,0,0,1981202,0
2019-04-23,"JP-10",0,0,0,0,0,0,17,0,0,0,0,0,25,NA,"群馬県",45,7,3,"4",2019,0,0,0,0,0,0,1,0,0,0,0,1981202,0
2019-04-24,"JP-10",8,0,0,0,0,10,23,0,0,0,0,24,72,NA,"群馬県",46,7,4,"4",2019,0,0,0,0,0,0,1,0,0,0,0,1981202,0
2019-04-25,"JP-10",0,0,0,0,0,10,55,0,0,0,0,24,24,NA,"群馬県",47,7,5,"4",2019,0,0,0,0,0,0,1,0,0,0,0,1981202,0
2019-04-26,"JP-10",8,0,10,0,0,10,65,0,0,0,0,24,0,NA,"群馬県",48,7,6,"4",2019,0,0,0,0,0,0,1,0,0,0,0,1981202,0
2019-04-27,"JP-10",23,0,0,0,0,20,16,0,0,0,0,0,45,NA,"群馬県",49,7,7,"4",2019,0,0,0,0,0,0,1,0,0,0,0,1981202,0
2019-04-28,"JP-10",0,0,0,33,0,0,15,0,0,25,0,0,21,NA,"群馬県",50,8,1,"4",2019,0,0,0,0,0,0,0,1,0,0,0,1981202,0
2019-04-29,"JP-10",14,0,0,0,0,0,36,0,0,25,0,21,21,NA,"群馬県",51,8,2,"4",2019,0,0,0,0,0,0,0,1,0,0,0,1981202,0
2019-04-30,"JP-10",0,0,0,0,19,9,7,0,0,47,0,39,0,NA,"群馬県",52,8,3,"4",2019,0,0,0,0,0,0,0,1,0,0,0,1981202,0
2019-05-01,"JP-10",27,6,0,0,0,0,47,0,0,24,0,0,40,NA,"群馬県",53,8,4,"5",2019,0,0,0,0,0,0,0,1,0,0,0,1981202,0
2019-05-02,"JP-10",7,0,0,0,19,9,27,0,0,0,0,62,41,NA,"群馬県",54,8,5,"5",2019,0,0,0,0,0,0,0,1,0,0,0,1981202,0
2019-05-03,"JP-10",0,0,0,0,0,27,21,0,0,0,0,20,0,NA,"群馬県",55,8,6,"5",2019,0,0,0,0,0,0,0,1,0,0,0,1981202,0
2019-05-04,"JP-10",7,0,0,0,0,27,28,0,0,0,31,0,0,NA,"群馬県",56,8,7,"5",2019,0,0,0,0,0,0,0,1,0,0,0,1981202,0
2019-05-05,"JP-10",14,6,0,0,0,0,21,0,0,0,0,42,21,NA,"群馬県",57,9,1,"5",2019,0,0,0,0,0,0,0,0,1,0,0,1981202,0
2019-05-06,"JP-10",22,0,0,0,19,9,29,0,0,25,0,0,21,NA,"群馬県",58,9,2,"5",2019,0,0,0,0,0,0,0,0,1,0,0,1981202,0
2019-05-07,"JP-10",0,0,0,0,0,0,83,0,0,30,0,49,25,NA,"群馬県",59,9,3,"5",2019,0,0,0,0,0,0,0,0,1,0,0,1981202,0
2019-05-08,"JP-10",16,0,0,0,0,32,59,0,0,0,0,24,24,NA,"群馬県",60,9,4,"5",2019,0,0,0,0,0,0,0,0,1,0,0,1981202,0
2019-05-09,"JP-10",0,0,0,0,0,20,0,0,0,0,0,0,23,NA,"群馬県",61,9,5,"5",2019,0,0,0,0,0,0,0,0,1,0,0,1981202,0
2019-05-10,"JP-10",16,0,0,0,0,11,33,0,0,0,0,23,69,NA,"群馬県",62,9,6,"5",2019,0,0,0,0,0,0,0,0,1,0,0,1981202,0
2019-05-11,"JP-10",15,0,0,0,0,38,30,0,0,53,0,22,22,NA,"群馬県",63,9,7,"5",2019,0,0,0,0,0,0,0,0,1,0,0,1981202,0
2019-03-10,"JP-11",35,8,11,0,0,18,45,0,0,11,13,54,72,NA,"埼玉県",64,1,1,"3",2019,1,0,0,0,0,0,0,0,0,0,0,7377288,0
