geoName,geoCode,Twitter
三重県,JP-24,70
京都府,JP-26,72
佐賀県,JP-41,68
兵庫県,JP-28,68
北海道,JP-01,78
千葉県,JP-12,75
和歌山県,JP-30,71
埼玉県,JP-11,74
大分県,JP-44,68
大阪府,JP-27,66
奈良県,JP-29,73
宮城県,JP-04,80
宮崎県,JP-45,59
富山県,JP-16,79
山口県,JP-35,64
山形県,JP-06,100
山梨県,JP-19,74
岐阜県,JP-21,65
岡山県,JP-33,76
岩手県,JP-03,73
島根県,JP-32,83
広島県,JP-34,73
徳島県,JP-36,73
愛媛県,JP-38,72
愛知県,JP-23,65
新潟県,JP-15,78
東京都,JP-13,71
栃木県,JP-09,83
沖縄県,JP-47,62
滋賀県,JP-25,67
熊本県,JP-43,60
石川県,JP-17,72
神奈川県,JP-14,72
福井県,JP-18,66
福岡県,JP-40,62
福島県,JP-07,83
秋田県,JP-05,81
群馬県,JP-10,82
茨城県,JP-08,78
長崎県,JP-42,57
長野県,JP-20,70
青森県,JP-02,75
静岡県,JP-22,76
香川県,JP-37,63
高知県,JP-39,69
鳥取県,JP-31,74
鹿児島県,JP-46,58
